Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Gender
1336,Estimates,Armenia,,51,Country,922,1950,73,51,94,76,80,36,20,31,33,29,23,21,26,20,14,9,4,2,0,0,0,Male-Population
1337,Estimates,Armenia,,51,Country,922,1955,121,75,53,96,78,81,37,20,31,32,28,21,19,22,15,10,5,2,1,0,0,Male-Population
1338,Estimates,Armenia,,51,Country,922,1960,165,124,77,55,98,80,83,38,21,31,32,27,20,16,17,10,5,2,1,0,0,Male-Population
1339,Estimates,Armenia,,51,Country,922,1965,178,169,127,80,57,100,82,84,38,21,30,30,25,17,13,12,6,3,1,0,0,Male-Population
1340,Estimates,Armenia,,51,Country,922,1970,150,184,176,132,83,60,102,84,85,39,21,30,29,22,14,10,7,3,1,0,0,Male-Population
1341,Estimates,Armenia,,51,Country,922,1975,154,156,187,175,133,87,63,104,85,84,39,21,28,25,18,11,6,4,1,0,0,Male-Population
1342,Estimates,Armenia,,51,Country,922,1980,167,155,157,184,177,127,88,58,100,82,84,40,20,24,21,14,7,3,2,0,0,Male-Population
1343,Estimates,Armenia,,51,Country,922,1985,189,164,156,154,172,167,124,85,56,98,80,80,37,17,20,15,9,4,1,0,0,Male-Population
1344,Estimates,Armenia,,51,Country,922,1990,197,183,159,144,141,162,161,120,81,54,93,75,72,32,13,14,8,4,1,0,0,Male-Population
1345,Estimates,Armenia,,51,Country,922,1995,149,173,154,124,106,103,127,131,98,65,43,81,63,59,24,9,8,4,1,0,0,Male-Population
1346,Estimates,Armenia,,51,Country,922,2000,105,140,165,143,111,91,86,112,116,87,56,35,70,51,46,17,5,4,1,0,0,Male-Population
1347,Estimates,Armenia,,51,Country,922,2005,100,102,133,150,128,101,84,81,104,108,79,53,32,61,40,32,9,3,2,0,0,Male-Population
1348,Estimates,Armenia,,51,Country,922,2010,107,94,98,121,131,112,91,77,76,95,98,69,48,27,49,28,19,5,1,0,0,Male-Population
1349,Estimates,Armenia,,51,Country,922,2015,114,106,93,97,115,129,111,89,76,74,91,92,62,41,22,35,17,10,2,0,0,Male-Population
1350,Estimates,Armenia,,51,Country,922,2020,108,114,106,91,93,111,126,108,87,73,70,85,84,55,34,16,21,8,3,0,0,Male-Population
1351,Estimates,Azerbaijan,3,31,Country,922,1950,178,128,191,180,164,82,49,68,62,51,52,38,42,34,26,15,7,4,2,0,0,Male-Population
1352,Estimates,Azerbaijan,3,31,Country,922,1955,274,171,127,189,178,162,80,48,67,60,48,48,34,35,26,17,8,3,1,0,0,Male-Population
1353,Estimates,Azerbaijan,3,31,Country,922,1960,358,264,170,126,187,175,160,79,48,65,57,45,43,29,27,17,9,3,1,0,0,Male-Population
1354,Estimates,Azerbaijan,3,31,Country,922,1965,430,347,262,169,125,185,173,158,78,46,62,54,41,37,22,18,9,3,1,0,0,Male-Population
1355,Estimates,Azerbaijan,3,31,Country,922,1970,398,418,345,261,157,113,183,171,155,76,44,58,48,34,29,15,10,4,1,0,0,Male-Population
1356,Estimates,Azerbaijan,3,31,Country,922,1975,361,390,416,343,244,150,113,183,164,146,71,41,51,40,27,19,8,4,1,0,0,Male-Population
1357,Estimates,Azerbaijan,3,31,Country,922,1980,357,352,388,414,341,228,143,113,182,156,135,64,36,41,30,19,11,4,1,0,0,Male-Population
1358,Estimates,Azerbaijan,3,31,Country,922,1985,410,349,351,372,384,324,224,136,111,176,151,124,57,30,32,20,11,5,1,0,0,Male-Population
1359,Estimates,Azerbaijan,3,31,Country,922,1990,481,402,348,350,315,354,307,220,129,107,167,142,109,48,23,22,12,5,1,0,0,Male-Population
1360,Estimates,Azerbaijan,3,31,Country,922,1995,460,474,401,331,327,313,346,295,207,120,97,149,121,86,36,15,12,5,1,0,0,Male-Population
1361,Estimates,Azerbaijan,3,31,Country,922,2000,376,457,474,401,315,306,313,339,281,193,109,85,126,97,61,23,7,5,1,0,0,Male-Population
1362,Estimates,Azerbaijan,3,31,Country,922,2005,345,372,455,472,409,325,306,313,337,274,185,102,76,105,74,40,13,3,1,0,0,Male-Population
1363,Estimates,Azerbaijan,3,31,Country,922,2010,377,343,380,454,470,418,334,305,312,334,264,173,92,64,79,50,22,5,1,0,0,Male-Population
1364,Estimates,Azerbaijan,3,31,Country,922,2015,462,375,342,380,453,468,415,331,301,305,323,249,158,80,51,56,29,9,2,0,0,Male-Population
1365,Estimates,Azerbaijan,3,31,Country,922,2020,436,460,374,341,378,451,466,412,328,296,297,308,231,139,65,37,32,12,2,0,0,Male-Population
1366,Estimates,Bahrain,,48,Country,922,1950,10,8,7,6,6,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,Male-Population
1367,Estimates,Bahrain,,48,Country,922,1955,11,9,8,6,6,7,6,4,4,3,2,2,1,1,1,0,0,0,0,0,0,Male-Population
1368,Estimates,Bahrain,,48,Country,922,1960,14,10,9,8,7,8,7,6,5,4,3,2,1,1,1,0,0,0,0,0,0,Male-Population
1369,Estimates,Bahrain,,48,Country,922,1965,16,15,14,9,10,10,7,6,4,4,3,1,1,1,1,0,0,0,0,0,0,Male-Population
1370,Estimates,Bahrain,,48,Country,922,1970,18,15,15,12,9,9,8,7,6,5,4,2,2,1,1,0,0,0,0,0,0,Male-Population
1371,Estimates,Bahrain,,48,Country,922,1975,20,18,15,18,18,13,11,9,7,6,5,4,2,2,1,1,0,0,0,0,0,Male-Population
1372,Estimates,Bahrain,,48,Country,922,1980,25,20,18,18,27,31,21,14,11,7,6,4,3,2,1,1,0,0,0,0,0,Male-Population
1373,Estimates,Bahrain,,48,Country,922,1985,30,23,19,15,20,30,32,26,16,8,7,5,3,2,1,2,1,0,0,0,0,Male-Population
1374,Estimates,Bahrain,,48,Country,922,1990,34,27,22,19,24,35,40,32,19,10,8,5,4,3,1,1,1,0,0,0,0,Male-Population
