Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,9-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,Gender
2116,Estimates,Philippines,,608,Country,920,1950,  1 568,  1 286,  1 088,914,733,687,585,533,445,333,282,253,216,174,123,77,30,11,3,0,0,Female-Population
2117,Estimates,Philippines,,608,Country,920,1955,  2 149,  1 515,  1 267,  1 074,897,717,670,569,516,429,317,263,229,185,137,83,42,11,3,0,0,Female-Population
2118,Estimates,Philippines,,608,Country,920,1960,  2 429,  2 086,  1 496,  1 252,  1 056,879,701,653,552,498,409,297,239,198,147,94,46,15,3,0,0,Female-Population
2119,Estimates,Philippines,,608,Country,920,1965,  2 732,  2 369,  2 063,  1 480,  1 234,  1 037,861,684,634,533,476,383,270,207,157,102,52,17,4,0,0,Female-Population
2120,Estimates,Philippines,,608,Country,920,1970,  3 023,  2 672,  2 343,  2 030,  1 437,  1 191,  1 002,831,659,609,508,445,349,234,165,110,57,19,4,0,0,Female-Population
2121,Estimates,Philippines,,608,Country,920,1975,  3 347,  2 969,  2 647,  2 311,  1 985,  1 396,  1 157,972,805,635,582,477,407,304,189,117,62,22,5,1,0,Female-Population
2122,Estimates,Philippines,,608,Country,920,1980,  3 748,  3 289,  2 943,  2 611,  2 258,  1 933,  1 355,  1 122,941,776,606,547,436,356,247,135,67,25,6,1,0,Female-Population
2123,Estimates,Philippines,,608,Country,920,1985,  4 151,  3 695,  3 266,  2 917,  2 573,  2 220,  1 897,  1 326,  1 094,912,744,573,503,384,291,179,79,27,6,1,0,Female-Population
2124,Estimates,Philippines,,608,Country,920,1990,  4 609,  4 108,  3 671,  3 234,  2 869,  2 524,  2 176,  1 857,  1 292,  1 061,876,704,528,444,316,213,105,32,7,1,0,Female-Population
2125,Estimates,Philippines,,608,Country,920,1995,  4 909,  4 566,  4 085,  3 631,  3 171,  2 806,  2 470,  2 128,  1 811,  1 253,  1 019,830,651,468,368,233,127,46,9,1,0,Female-Population
2126,Estimates,Philippines,,608,Country,920,2000,  5 243,  4 869,  4 541,  4 031,  3 545,  3 088,  2 737,  2 411,  2 075,  1 759,  1 205,968,771,581,392,277,143,59,14,2,0,Female-Population
2127,Estimates,Philippines,,608,Country,920,2005,  5 575,  5 203,  4 841,  4 470,  3 915,  3 433,  2 998,  2 663,  2 347,  2 013,  1 694,  1 146,901,690,490,298,172,70,20,3,0,Female-Population
2128,Estimates,Philippines,,608,Country,920,2010,  5 377,  5 113,  5 020,  4 809,  4 208,  3 724,  3 364,  2 991,  2 713,  2 334,  1 961,  1 542,  1 164,827,653,426,220,92,26,5,0,Female-Population
2129,Estimates,Philippines,,608,Country,920,2015,  5 588,  5 346,  5 094,  4 976,  4 736,  4 135,  3 660,  3 306,  2 933,  2 649,  2 260,  1 876,  1 446,  1 052,707,509,272,129,40,8,1,Female-Population
2130,Estimates,Philippines,,608,Country,920,2020,  5 166,  5 552,  5 329,  5 055,  4 913,  4 672,  4 080,  3 610,  3 255,  2 876,  2 578,  2 174,  1 778,  1 349,952,597,378,166,59,13,2,Female-Population
2131,Estimates,Singapore,,702,Country,920,1950,80,65,60,49,41,37,36,31,26,20,16,10,8,6,3,3,2,1,0,0,0,Female-Population
2132,Estimates,Singapore,,702,Country,920,1955,114,81,68,62,52,44,39,37,32,27,20,16,9,7,4,3,2,1,0,0,0,Female-Population
2133,Estimates,Singapore,,702,Country,920,1960,146,113,83,71,67,57,47,41,38,32,26,19,15,8,5,4,2,1,0,0,0,Female-Population
2134,Estimates,Singapore,,702,Country,920,1965,137,144,117,93,70,69,55,47,38,34,32,26,19,13,7,5,3,1,0,0,0,Female-Population
2135,Estimates,Singapore,,702,Country,920,1970,114,136,140,120,101,66,68,55,47,38,33,31,24,17,11,6,3,1,0,0,0,Female-Population
2136,Estimates,Singapore,,702,Country,920,1975,108,114,137,142,122,102,66,66,53,46,36,32,29,22,14,8,4,2,0,0,0,Female-Population
2137,Estimates,Singapore,,702,Country,920,1980,93,108,115,139,143,124,104,67,65,53,45,34,30,26,19,11,6,2,1,0,0,Female-Population
2138,Estimates,Singapore,,702,Country,920,1985,105,98,114,122,146,151,131,109,71,68,55,46,34,29,23,15,7,3,1,0,0,Female-Population
2139,Estimates,Singapore,,702,Country,920,1990,110,102,100,123,157,171,168,139,110,68,61,52,43,31,25,19,12,4,1,0,0,Female-Population
2140,Estimates,Singapore,,702,Country,920,1995,126,116,106,116,142,163,185,182,155,124,77,70,59,42,28,21,14,8,2,0,0,Female-Population
